"lat","long","cell_category","proportion_cover","cell_id","amt","arid","ts","pwarmq","pcoldq","th","clay"
-28.34999915,119.54999965,"land",1,1361,-0.233039296645253,-0.652385858355193,1.15089769910599,-0.649977988221074,-0.0756185787370282,-0.304730749873486,-0.69670356196612
-28.34999915,120.38333295,"land",1,1362,-0.218111491640426,-0.663791147035936,1.10742117757197,-0.776195245012545,-0.196905331867603,-0.321786020529593,-0.543182052144343
-28.34999915,121.21666625,"land",1,1363,-0.22386437745766,-0.668128637102382,1.00658899306003,-0.780162547422486,-0.232860639116719,-0.247505163431605,-0.462628699626336
-28.34999915,122.04999955,"land",1,1364,-0.281437332838447,-0.681414450590354,0.919303725981231,-0.794045612013047,-0.262073606437596,-0.43773587342751,-0.52980054072859
-28.34999915,122.88333285,"land",1,1365,-0.447398076799421,-0.677406796212041,0.838222171018545,-0.832940414206282,-0.261296790351977,-0.469343564048991,-0.944032146213596
-28.34999915,123.71666615,"land",1,1366,-0.393549985618482,-0.702191047263273,0.809423271123556,-0.796249030272216,-0.295837259148522,-0.286321239162594,-0.772766088236568
-28.34999915,124.54999945,"land",1,1367,-0.297251131755994,-0.735784770320673,0.781011526458028,-0.78047259163793,-0.354884613032191,-0.484241264949684,-0.781537950054283
-28.34999915,125.38333275,"land",1,1368,-0.26901496922825,-0.755379386146208,0.825484720024309,-0.772056698631916,-0.403191930744394,-0.278444319019727,-1.06249354248763
-28.34999915,126.21666605,"land",1,1369,-0.319472525044868,-0.755076143664784,0.818461873574805,-0.765508671205755,-0.437722521732373,-0.224122102312918,-1.1715531826113
-28.34999915,127.04999935,"land",1,1370,-0.395046140905326,-0.754513908054084,0.789936750873862,-0.773483130031576,-0.466413184162828,-0.387535514154708,-1.23443502198581
-28.34999915,127.88333265,"land",1,1371,-0.394107050353854,-0.75652710825872,0.778939520888326,-0.788565994958231,-0.492226798240251,-0.142030747615539,-1.16778339212346
-28.34999915,128.71666595,"land",1,1372,-0.384195077824952,-0.753581583650013,0.786719099806765,-0.799198369217017,-0.487386251710306,-0.172724050864575,-1.10125955176918
-28.34999915,129.54999925,"land",1,1373,-0.428550119957305,-0.737845671181606,0.740221800693496,-0.800060099278665,-0.463204493641324,-0.171826081010599,-0.825999732702321
-28.34999915,130.38333255,"land",1,1374,-0.372143490742984,-0.737560993083554,0.773245570481829,-0.805984903155473,-0.432073213863572,-0.129597897690953,-0.837920717983016
